nodes                               program        c.domain  adv.model      protocol         comp.intbits  comp.inttriples  comp.vmrounds  cpus  freqs(GHz)  quotas(%)  input_size  runtime(s)  maxPhyRAM(MiB)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
dogecoin,dogecoincash,dogecoingold  32_matrix_add  FIELD     semihonest     atlas            NA            NA               122            4     2.2         90         11          0.0616708   19              ~254          1.44774         2.89742
dogecoin,dogecoincash,dogecoingold  32_matrix_add  FIELD     semihonest     atlas            NA            NA               170            4     2.2         90         13          0.0681019   17              ~350          1.45082         2.90434
dogecoin,dogecoincash,dogecoingold  32_matrix_add  FIELD     semihonest     atlas            NA            NA               197            4     2.2         90         14          0.080297    15              ~404          1.45254         2.90822
dogecoin,dogecoincash,dogecoingold  32_matrix_add  FIELD     semihonest     atlas            NA            NA               226            4     2.2         90         15          0.079841    17              ~462          1.4544          2.9124
dogecoin,dogecoincash,dogecoingold  32_matrix_add  FIELD     semihonest     atlas            NA            NA               257            4     2.2         90         16          0.0985729   15              ~524          1.45638         2.91686
dogecoin,dogecoincash,dogecoingold  32_matrix_add  FIELD     semihonest     shamir           NA            NA               122            4     2.2         90         11          0.0279479   12              ~243          0.007744        0.017424
dogecoin,dogecoincash,dogecoingold  32_matrix_add  FIELD     semihonest     shamir           NA            NA               170            4     2.2         90         13          0.0357341   15              ~339          0.010816        0.024336
dogecoin,dogecoincash,dogecoingold  32_matrix_add  FIELD     semihonest     shamir           NA            NA               197            4     2.2         90         14          0.039546    12              ~393          0.012544        0.028224
dogecoin,dogecoincash,dogecoingold  32_matrix_add  FIELD     semihonest     shamir           NA            NA               226            4     2.2         90         15          0.0467212   13              ~451          0.0144          0.0324
dogecoin,dogecoincash,dogecoingold  32_matrix_add  FIELD     semihonest     shamir           NA            NA               257            4     2.2         90         16          0.0504817   13              ~513          0.016384        0.036864
dogecoin,dogecoincash,dogecoingold  32_matrix_add  FIELD     semidishonest  temi             NA            NA               122            4     2.2         90         11          0.0209052   28              ~484          0.003872        0.007744
dogecoin,dogecoincash,dogecoingold  32_matrix_add  FIELD     semidishonest  temi             NA            NA               170            4     2.2         90         13          0.0267776   30              ~676          0.005408        0.010816
dogecoin,dogecoincash,dogecoingold  32_matrix_add  FIELD     semidishonest  temi             NA            NA               197            4     2.2         90         14          0.0316802   31              ~784          0.006272        0.012544
dogecoin,dogecoincash,dogecoingold  32_matrix_add  FIELD     semidishonest  temi             NA            NA               226            4     2.2         90         15          0.0363013   26              ~900          0.0072          0.0144
dogecoin,dogecoincash,dogecoingold  32_matrix_add  FIELD     semidishonest  temi             NA            NA               257            4     2.2         90         16          0.0414956   31              ~1024         0.008192        0.016384
dogecoin,dogecoincash,dogecoingold  32_matrix_add  RING      semihonest     replicated-ring  NA            NA               122            4     2.2         90         11          0.0124783   13              ~122          0.001936        0.005808
dogecoin,dogecoincash,dogecoingold  32_matrix_add  RING      semihonest     replicated-ring  NA            NA               170            4     2.2         90         13          0.0154263   13              ~170          0.002704        0.008112
dogecoin,dogecoincash,dogecoingold  32_matrix_add  RING      semihonest     replicated-ring  NA            NA               197            4     2.2         90         14          0.0199971   13              ~197          0.003136        0.009408
dogecoin,dogecoincash,dogecoingold  32_matrix_add  RING      semihonest     replicated-ring  NA            NA               226            4     2.2         90         15          0.0245839   13              ~226          0.0036          0.0108
dogecoin,dogecoincash,dogecoingold  32_matrix_add  RING      semihonest     replicated-ring  NA            NA               257            4     2.2         90         16          0.0275595   14              ~257          0.004096        0.012288
dogecoin,dogecoincash,dogecoingold  32_matrix_add  BINARY    semidishonest  semi-bin         NA            71148            21176          4     2.2         90         11          2.17002     200             NA            24.0554         NA
dogecoin,dogecoincash,dogecoingold  32_matrix_add  BINARY    semidishonest  semi-bin         NA            99372            29576          4     2.2         90         13          2.83511     201             NA            24.9594         NA
dogecoin,dogecoincash,dogecoingold  32_matrix_add  BINARY    semidishonest  semi-bin         NA            115248           34301          4     2.2         90         14          3.00781     199             NA            25.4678         NA
dogecoin,dogecoincash,dogecoingold  32_matrix_add  BINARY    semidishonest  semi-bin         NA            132300           39376          4     2.2         90         15          3.39942     204             NA            26.014          NA
dogecoin,dogecoincash,dogecoingold  32_matrix_add  BINARY    semidishonest  semi-bin         NA            150528           44801          4     2.2         90         16          3.95375     199             NA            26.5978         NA
