nodes             program              c.domain  adv.model   protocol             partysize  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  packetdrops(%)  runtime(s)  maxPhyRAM(MiB)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)  Tx(rounds)  Tx(s)  Rx(MB)  Rx(rounds)  Rx(s)  Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
rapla,tapa,valga  35_set_intersection  FIELD     malhonest   malicious-shamir     3          30            30            30            NA            NA            NA           190320        117120           NA               14671          30          6               367.175     NA              ~14928        61.6396         185.239          NA      NA          NA     NA      NA          NA     NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
rapla,tapa,valga  35_set_intersection  FIELD     malhonest   malicious-shamir     3          NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30          8               759.914     NA              ~14928        61.6396         185.239          NA      NA          NA     NA      NA          NA     NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
rapla,tapa,valga  35_set_intersection  FIELD     malhonest   malicious-rep-field  3          30            30            30            NA            NA            NA           190320        117120           NA               14671          30          6               154.036     NA              ~14873        21.2236         63.8308          NA      NA          NA     NA      NA          NA     NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
rapla,tapa,valga  35_set_intersection  FIELD     malhonest   malicious-rep-field  3          NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30          8               327.417     NA              ~14873        21.2236         63.8308          NA      NA          NA     NA      NA          NA     NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
rapla,tapa,valga  35_set_intersection  FIELD     malhonest   ps-rep-field         3          30            30            30            NA            NA            NA           190320        117120           NA               14671          30          6               268.061     NA              ~14873        17.3375         52.1725          NA      NA          NA     NA      NA          NA     NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
rapla,tapa,valga  35_set_intersection  FIELD     malhonest   ps-rep-field         3          NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30          8               424.224     NA              ~14873        17.3375         52.1725          NA      NA          NA     NA      NA          NA     NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
rapla,tapa,valga  35_set_intersection  FIELD     malhonest   sy-rep-field         3          30            30            30            NA            NA            NA           190320        117120           NA               14671          30          6               265.113     NA              ~15046        18.6704         56.1713          NA      NA          NA     NA      NA          NA     NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
rapla,tapa,valga  35_set_intersection  FIELD     malhonest   sy-rep-field         3          NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30          8               449.637     NA              ~15046        18.6704         56.1713          NA      NA          NA     NA      NA          NA     NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
rapla,tapa,valga  35_set_intersection  FIELD     semihonest  shamir               3          30            30            30            NA            NA            NA           190320        117120           NA               14671          30          6               379.946     NA              ~16571        14.3683         43.3357          NA      NA          NA     NA      NA          NA     NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
rapla,tapa,valga  35_set_intersection  FIELD     semihonest  shamir               3          NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             30          8               676.037     NA              ~16571        14.3683         43.3357          NA      NA          NA     NA      NA          NA     NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
rapla,tapa,valga  35_set_intersection  FIELD     semihonest  replicated-field     3          30            30            30            NA            NA            NA           190320        117120           NA               14671          30          6               250.427     NA              ~14711        7.18416         21.7125          NA      NA          NA     NA      NA          NA     NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
