nodes                               program             c.domain  adv.model      protocol          partysize  comp.time(s)  comp.peakRAM(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)        Rx(MB)    Rx(rounds)  Rx(s)        Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)    Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
dogecoin,dogecoincash,dogecoingold  31_scalable_search  FIELD     semihonest     shamir            3          0.34          28                 4             1             NA            NA            NA            NA           416           252              NA               31             4           0.0217749            0.10                 15            58         ~38           0.648352        1.62459          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
dogecoin,dogecoincash,dogecoingold  31_scalable_search  FIELD     semihonest     shamir            3          0.17          18                 6             1             NA            NA            NA            NA           624           378              NA               45             6           0.0238288            0.10                 15            58         ~54           0.652512        1.63685          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
dogecoin,dogecoincash,dogecoingold  31_scalable_search  FIELD     semihonest     shamir            3          0.17          18                 8             1             NA            NA            NA            NA           832           504              NA               59             8           0.0274464            0.11                 15            61         ~70           0.656672        1.6491           NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
dogecoin,dogecoincash,dogecoingold  31_scalable_search  FIELD     semihonest     shamir            3          0.17          18                 10            1             NA            NA            NA            NA           1040          630              NA               73             10          0.0289345            0.11                 17            63         ~86           0.660832        1.66136          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
dogecoin,dogecoincash,dogecoingold  31_scalable_search  FIELD     semihonest     shamir            3          0.18          18                 12            1             NA            NA            NA            NA           1248          756              NA               87             12          0.0374409            0.13                 15            56         ~102          0.664992        1.67362          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
dogecoin,dogecoincash,dogecoingold  31_scalable_search  FIELD     semihonest     shamir            3          0.16          18                 14            1             NA            NA            NA            NA           1456          882              NA               101            14          0.0324213            0.12                 17            60         ~118          0.669152        1.68587          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
dogecoin,dogecoincash,dogecoingold  31_scalable_search  FIELD     malhonest      malicious-shamir  3          0.34          28                 4             1             NA            NA            NA            NA           416           252              NA               31             4           0.104297             0.19                 22            72         ~48           3.53669         10.2898          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
dogecoin,dogecoincash,dogecoingold  31_scalable_search  FIELD     malhonest      malicious-shamir  3          0.17          18                 6             1             NA            NA            NA            NA           624           378              NA               45             6           0.114735             0.19                 25            69         ~62           3.54488         10.3143          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
dogecoin,dogecoincash,dogecoingold  31_scalable_search  FIELD     malhonest      malicious-shamir  3          0.17          18                 8             1             NA            NA            NA            NA           832           504              NA               59             8           0.129703             0.22                 25            77         ~76           3.55307         10.3387          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
dogecoin,dogecoincash,dogecoingold  31_scalable_search  FIELD     malhonest      malicious-shamir  3          0.17          18                 10            1             NA            NA            NA            NA           1040          630              NA               73             10          0.155713             0.25                 22            70         ~90           3.56126         10.3632          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
dogecoin,dogecoincash,dogecoingold  31_scalable_search  FIELD     malhonest      malicious-shamir  3          0.18          18                 12            1             NA            NA            NA            NA           1248          756              NA               87             12          0.131574             0.22                 24            71         ~104          3.56946         10.3876          NA        NA          NA           NA        NA          NA           NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
