nodes             program             c.domain  adv.model        protocol  comp.intbits  comp.inttriples  comp.vmrounds  latencies(ms)  input_size  runtime(s)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
rapla,tapa,valga  31_scalable_search  FIELD     maldishonest     highgear  NA            NA               NA             15             30          37.9479     ~1206         131.658         362.737
rapla,tapa,valga  31_scalable_search  FIELD     maldishonest     highgear  NA            NA               NA             20             30          42.5814     ~1206         131.657         362.737
rapla,tapa,valga  31_scalable_search  FIELD     maldishonest     highgear  NA            NA               NA             25             30          47.3263     ~1206         131.657         362.736
rapla,tapa,valga  31_scalable_search  FIELD     maldishonest     highgear  NA            NA               NA             30             30          52.8202     ~1206         131.659         362.738
rapla,tapa,valga  31_scalable_search  FIELD     maldishonest     highgear  NA            NA               NA             35             30          58.0184     ~1206         131.657         362.738
rapla,tapa,valga  31_scalable_search  FIELD     maldishonest     highgear  NA            NA               NA             40             30          63.1603     ~1206         131.657         362.737
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  cowgear   3120          1890             214            5              30          17.8871     ~1380         60.9718         178.602
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  cowgear   NA            NA               NA             10             30          16.795      ~1380         60.9718         178.602
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  cowgear   NA            NA               NA             15             30          21.9209     ~1380         60.9718         178.602
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  cowgear   NA            NA               NA             20             30          26.9317     ~1380         60.9718         178.602
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  cowgear   NA            NA               NA             25             30          31.802      ~1380         60.9718         178.602
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  cowgear   NA            NA               NA             30             30          38.3349     ~1380         60.9718         178.602
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  cowgear   NA            NA               NA             35             30          43.2039     ~1380         60.9718         178.602
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  cowgear   NA            NA               NA             40             30          48.5916     ~1380         60.9718         178.602
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  chaigear  3120          1890             214            5              30          73.0156     ~1206         131.658         362.739
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  chaigear  NA            NA               NA             10             30          32.8791     ~1206         131.658         362.738
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  chaigear  NA            NA               NA             15             30          37.7953     ~1206         131.659         362.74
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  chaigear  NA            NA               NA             20             30          42.6254     ~1206         131.658         362.74
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  chaigear  NA            NA               NA             25             30          47.3334     ~1206         131.658         362.737
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  chaigear  NA            NA               NA             30             30          52.6859     ~1206         131.658         362.74
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  chaigear  NA            NA               NA             35             30          57.7342     ~1206         131.658         362.739
rapla,tapa,valga  31_scalable_search  FIELD     covertdishonest  chaigear  NA            NA               NA             40             30          63.211      ~1206         131.658         362.737
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    semi      3120          1890             214            5              30          3.25124     ~904          49.5801         148.361
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    semi      NA            NA               NA             10             30          5.83639     ~904          49.5801         148.361
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    semi      NA            NA               NA             15             30          8.66233     ~904          49.5801         148.361
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    semi      NA            NA               NA             20             30          11.4362     ~904          49.5801         148.361
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    semi      NA            NA               NA             25             30          14.1185     ~904          49.5801         148.361
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    semi      NA            NA               NA             30             30          16.7268     ~904          49.5801         148.361
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    semi      NA            NA               NA             35             30          19.5503     ~904          49.5801         148.361
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    semi      NA            NA               NA             40             30          22.2007     ~904          49.5801         148.361
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    hemi      3120          1890             214            5              30          3.15055     ~883          3.52519         10.1967
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    hemi      NA            NA               NA             10             30          5.52531     ~883          3.52519         10.1967
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    hemi      NA            NA               NA             15             30          7.952       ~883          3.52519         10.1967
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    hemi      NA            NA               NA             20             30          10.2675     ~883          3.52519         10.1967
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    hemi      NA            NA               NA             25             30          12.6115     ~883          3.52519         10.1967
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    hemi      NA            NA               NA             30             30          15.0174     ~883          3.52519         10.1967
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    hemi      NA            NA               NA             35             30          17.4418     ~883          3.52519         10.1967
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    hemi      NA            NA               NA             40             30          19.8248     ~883          3.52519         10.1967
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    temi      3120          1890             214            5              30          3.08628     ~890          4.30753         9.39733
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    temi      NA            NA               NA             10             30          5.58868     ~890          4.30747         9.39752
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    temi      NA            NA               NA             15             30          8.091       ~890          4.30741         9.3972
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    temi      NA            NA               NA             20             30          10.5739     ~890          4.30762         9.39749
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    temi      NA            NA               NA             25             30          13.102      ~890          4.30765         9.39762
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    temi      NA            NA               NA             30             30          15.6691     ~890          4.30761         9.39755
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    temi      NA            NA               NA             35             30          18.0967     ~890          4.30751         9.39766
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    temi      NA            NA               NA             40             30          20.7531     ~890          4.30755         9.39767
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    soho      3120          1890             214            5              30          4.49463     ~871          17.4798         52.1893
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    soho      NA            NA               NA             10             30          6.99447     ~871          17.4801         52.1891
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    soho      NA            NA               NA             15             30          9.42708     ~871          17.48           52.1891
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    soho      NA            NA               NA             20             30          11.8466     ~871          17.4801         52.1892
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    soho      NA            NA               NA             25             30          14.1966     ~871          17.4802         52.1893
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    soho      NA            NA               NA             30             30          16.5901     ~871          17.4801         52.1891
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    soho      NA            NA               NA             35             30          19.2001     ~871          17.4802         52.1894
rapla,tapa,valga  31_scalable_search  FIELD     semidishonest    soho      NA            NA               NA             40             30          21.6442     ~871          17.4799         52.1892
