nodes         program              c.domain  adv.model        protocol             partysize  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime(s)  maxPhyRAM(MiB)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)       Rx(MB)    Rx(rounds)  Rx(s)      Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)    Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)    Ex(rounds)  Ex(s)       Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
todd,ned,rod  35_set_intersection  FIELD     covertdishonest  cowgear              3          9             9             9             NA            NA            NA           NA            27               NA               37             3           8.95069     NA              ~651          60.5945         179.422          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     covertdishonest  cowgear              3          16            16            16            NA            NA            NA           NA            48               NA               65             4           8.85404     NA              ~763          60.5963         179.426          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     covertdishonest  chaigear             3          4             4             4             NA            NA            NA           NA            12               NA               17             2           76.8288     NA              ~280          144.67          454.459          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     covertdishonest  chaigear             3          9             9             9             NA            NA            NA           NA            27               NA               37             3           29.8445     NA              ~360          144.67          454.46           NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     covertdishonest  chaigear             3          16            16            16            NA            NA            NA           NA            48               NA               65             4           29.869      NA              ~472          144.672         454.461          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semidishonest    semi                 3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.09109     NA              ~68           8.20109         24.6024          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semidishonest    semi                 3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.0852293   NA              ~148          8.20221         24.6046          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semidishonest    semi                 3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.0918966   NA              ~260          8.20378         24.6077          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semidishonest    hemi                 3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.447295    NA              ~67           3.14718         9.44063          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semidishonest    hemi                 3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.449326    NA              ~147          3.1483          9.44287          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semidishonest    hemi                 3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.450543    NA              ~259          3.14986         9.44601          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semidishonest    temi                 3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.240233    NA              ~74           3.92949         8.64134          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semidishonest    temi                 3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.245455    NA              ~154          3.93068         8.64388          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semidishonest    temi                 3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.250874    NA              ~266          3.93226         8.64685          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semidishonest    soho                 3          4             4             4             NA            NA            NA           NA            12               NA               17             2           1.07175     NA              ~68           10.975          32.924           NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semidishonest    soho                 3          9             9             9             NA            NA            NA           NA            27               NA               37             3           1.07153     NA              ~148          10.976          32.9262          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semidishonest    soho                 3          16            16            16            NA            NA            NA           NA            48               NA               65             4           1.07131     NA              ~260          10.9776         32.9291          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest        malicious-shamir     3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.0409292   NA              ~26           1.76119         5.28358          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest        malicious-shamir     3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.0852829   NA              ~46           1.76247         5.28742          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest        malicious-shamir     3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.056279    NA              ~74           1.76426         5.29279          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest        malicious-rep-field  3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.0307496   NA              ~24           0.480808        1.44242          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest        malicious-rep-field  3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.0244544   NA              ~44           0.481448        1.44434          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest        malicious-rep-field  3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.0276451   NA              ~72           0.482344        1.44703          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest        ps-rep-field         3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.00309744  NA              ~24           0.001           0.003            NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest        ps-rep-field         3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.0041518   NA              ~44           0.00188         0.00564          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest        ps-rep-field         3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.00566608  NA              ~72           0.003112        0.009336         NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest        sy-rep-field         3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.00294119  NA              ~28           0.001088        0.003264         NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest        sy-rep-field         3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.00430798  NA              ~48           0.001968        0.005904         NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest        sy-rep-field         3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.00607412  NA              ~76           0.0032          0.0096           NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semihonest       shamir               3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.00298092  NA              ~21           0.00064         0.001728         NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semihonest       shamir               3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.00523895  NA              ~46           0.00144         0.003888         NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semihonest       shamir               3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.00764798  NA              ~81           0.00256         0.006912         NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semihonest       atlas                3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.0357471   NA              ~46           1.65389         3.52147          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semihonest       atlas                3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.050849    NA              ~86           1.65453         3.52315          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semihonest       atlas                3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.0487464   NA              ~142          1.65542         3.5255           NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semihonest       replicated-field     3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.00227879  NA              ~17           0.00032         0.00096          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semihonest       replicated-field     3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.00418248  NA              ~37           0.00072         0.00216          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     semihonest       replicated-field     3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.00545902  NA              ~65           0.00128         0.00384          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      maldishonest     spdz2k               3          4             4             4             NA            NA            NA           NA            12               NA               17             2           1.30098     NA              ~199          60.8028         182.311          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      maldishonest     spdz2k               3          9             9             9             NA            NA            NA           NA            27               NA               37             3           1.32414     NA              ~279          60.8041         182.314          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      maldishonest     spdz2k               3          16            16            16            NA            NA            NA           NA            48               NA               65             4           1.35013     NA              ~391          60.8059         182.318          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      semidishonest    semi2k               3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.0329221   NA              ~68           3.08064         9.24147          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      semidishonest    semi2k               3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.0338267   NA              ~148          3.0812          9.24259          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      semidishonest    semi2k               3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.0385576   NA              ~260          3.08198         9.24416          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      malhonest        brain                3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.0686287   NA              ~33           1.24063         3.7219           NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      malhonest        brain                3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.0565205   NA              ~53           1.24095         3.72286          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      malhonest        brain                3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.0756431   NA              ~81           1.2414          3.7242           NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      malhonest        malicious-rep-ring   3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.0222525   NA              ~28           0.390578        1.17173          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      malhonest        malicious-rep-ring   3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.0176018   NA              ~48           0.390898        1.17269          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      malhonest        malicious-rep-ring   3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.0198339   NA              ~76           0.391346        1.17404          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      malhonest        ps-rep-ring          3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.00358281  NA              ~24           0.000806        0.002418         NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      malhonest        ps-rep-ring          3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.00378402  NA              ~44           0.001471        0.004413         NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      malhonest        ps-rep-ring          3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.00518601  NA              ~72           0.002402        0.007206         NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      malhonest        sy-rep-ring          3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.00624511  NA              ~66           0.023468        0.0677           NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      malhonest        sy-rep-ring          3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.00806473  NA              ~86           0.024158        0.06977          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      malhonest        sy-rep-ring          3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.00951746  NA              ~114          0.025124        0.072668         NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      semihonest       replicated-ring      3          4             4             4             NA            NA            NA           NA            12               NA               17             2           0.00277913  NA              ~17           0.00016         0.00048          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      semihonest       replicated-ring      3          9             9             9             NA            NA            NA           NA            27               NA               37             3           0.00333909  NA              ~37           0.00036         0.00108          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  RING      semihonest       replicated-ring      3          16            16            16            NA            NA            NA           NA            48               NA               65             4           0.00563785  NA              ~65           0.00064         0.00192          NA       NA          NA          NA        NA          NA         NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
