nodes             program              c.domain  adv.model      protocol  partysize  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  freqs(GHz)  quotas(%)  input_size  runtime(s)  maxPhyRAM(MiB)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)        Rx(MB)    Rx(rounds)  Rx(s)      Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)   Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)    Ex(rounds)  Ex(s)       Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          4             4             4             NA            NA            NA           NA            12               NA               17             3           240        2           1.20792     NA              ~161          86.1129         258.306          NA       NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          9             9             9             NA            NA            NA           NA            27               NA               37             3           240        3           1.20947     NA              ~241          86.1141         258.308          NA       NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          16            16            16            NA            NA            NA           NA            48               NA               65             3           240        4           1.21354     NA              ~353          86.1159         258.312          NA       NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          25            25            25            NA            NA            NA           NA            75               NA               101            3           240        5           1.21938     NA              ~497          86.1182         258.317          NA       NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          36            36            36            NA            NA            NA           NA            108              NA               145            3           240        6           1.2213      NA              ~673          86.1211         258.323          NA       NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          49            49            49            NA            NA            NA           NA            147              NA               197            3           240        7           1.22648     NA              ~881          86.1244         258.33           NA       NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          64            64            64            NA            NA            NA           NA            192              NA               257            3           240        8           1.24082     NA              ~1121         86.1282         258.338          NA       NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          81            81            81            NA            NA            NA           NA            243              NA               325            3           240        9           1.23181     NA              ~1393         86.1326         258.347          NA       NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          100           100           100           NA            NA            NA           NA            300              NA               401            3           240        10          1.24205     NA              ~1697         86.1374         258.358          NA       NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
valga,tapa,rapla  35_set_intersection  FIELD     maldishonest   mascot    3          121           121           121           NA            NA            NA           NA            363              NA               485            3           240        11          1.25008     NA              ~2033         86.1428         258.369          NA       NA          NA           NA        NA          NA         NA             NA                 NA            NA        NA            NA        NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
