nodes         program              c.domain  adv.model        protocol             partysize  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime(s)  maxPhyRAM(MiB)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)     Rx(MB)   Rx(rounds)  Rx(s)    Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)    Ex(rounds)  Ex(s)       Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
todd,ned,rod  35_set_intersection  FIELD     maldishonest     mascot               3          2500          2500          2500          NA            NA            NA           NA            NA               NA               2501           50          1.38177     NA              ~10071        41.1751         123.445          NA       NA          NA        NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     maldishonest     mascot               3          250000        250000        250000        NA            NA            NA           NA            NA               NA               250001         500         49.3426     NA              ~1000815      1040.17         3112.52          NA       NA          NA        NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     maldishonest     lowgear              3          2500          2500          2500          NA            NA            NA           NA            NA               NA               2501           50          506.279     NA              ~10055        1.75922         5.19756          NA       NA          NA        NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     maldishonest     lowgear              3          250000        250000        250000        NA            NA            NA           NA            NA               NA               250001         500         57.6341     NA              ~1000985      64.8184         186.452          NA       NA          NA        NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     maldishonest     highgear             3          2500          2500          2500          NA            NA            NA           NA            NA               NA               2501           50          1095.47     NA              ~10066        107.239         321.642          NA       NA          NA        NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     maldishonest     highgear             3          250000        250000        250000        NA            NA            NA           NA            NA               NA               250001         500         98.1794     NA              ~1000150      337.194         1003.58          NA       NA          NA        NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     covertdishonest  cowgear              3          2500          2500          2500          NA            NA            NA           NA            NA               NA               2501           50          6.95606     NA              ~10055        1.75922         5.19756          NA       NA          NA        NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     covertdishonest  cowgear              3          250000        250000        250000        NA            NA            NA           NA            NA               NA               250001         500         55.9269     NA              ~1000985      64.8184         186.452          NA       NA          NA        NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     covertdishonest  chaigear             3          2500          2500          2500          NA            NA            NA           NA            NA               NA               2501           50          70.8506     NA              ~10066        107.241         321.644          NA       NA          NA        NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     covertdishonest  chaigear             3          250000        250000        250000        NA            NA            NA           NA            NA               NA               250001         500         96.2748     NA              ~1000150      337.194         1003.58          NA       NA          NA        NA       NA          NA       NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA        NA          NA          NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
