nodes         program              c.domain  adv.model  protocol             partysize  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  input_size  runtime(s)  maxPhyRAM(MiB)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)    Tx(rounds)  Tx(s)     Rx(MB)    Rx(rounds)  Rx(s)     Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)    Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
todd,ned,rod  35_set_intersection  FIELD     malhonest  malicious-shamir     3          25            25            25            NA            NA            NA           NA            NA               NA               26             5           0.00410507  NA              ~26           0.0008          0.0024           NA        NA          NA        NA        NA          NA        NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest  malicious-shamir     3          100           100           100           NA            NA            NA           NA            NA               NA               101            10          0.00994457  NA              ~101          0.0032          0.0096           NA        NA          NA        NA        NA          NA        NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest  malicious-shamir     3          225           225           225           NA            NA            NA           NA            NA               NA               226            15          0.022283    NA              ~226          0.0072          0.0216           NA        NA          NA        NA        NA          NA        NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest  malicious-shamir     3          400           400           400           NA            NA            NA           NA            NA               NA               401            20          0.036256    NA              ~401          0.0128          0.0384           NA        NA          NA        NA        NA          NA        NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest  malicious-shamir     3          625           625           625           NA            NA            NA           NA            NA               NA               626            25          0.0540431   NA              ~626          0.02            0.06             NA        NA          NA        NA        NA          NA        NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest  malicious-shamir     3          900           900           900           NA            NA            NA           NA            NA               NA               901            30          0.0964389   NA              ~901          0.0288          0.0864           NA        NA          NA        NA        NA          NA        NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest  malicious-shamir     3          1225          1225          1225          NA            NA            NA           NA            NA               NA               1226           35          0.116054    NA              ~1226         0.0392          0.1176           NA        NA          NA        NA        NA          NA        NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest  malicious-shamir     3          1600          1600          1600          NA            NA            NA           NA            NA               NA               1601           40          0.16718     NA              ~1601         0.0512          0.1536           NA        NA          NA        NA        NA          NA        NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest  malicious-shamir     3          2025          2025          2025          NA            NA            NA           NA            NA               NA               2026           45          0.188858    NA              ~2026         0.0648          0.1944           NA        NA          NA        NA        NA          NA        NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
todd,ned,rod  35_set_intersection  FIELD     malhonest  malicious-shamir     3          2500          2500          2500          NA            NA            NA           NA            NA               NA               2501           50          0.25909     NA              ~2501         0.08            0.24             NA        NA          NA        NA        NA          NA        NA             NA                 NA            NA        NA            NA         NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
